,Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_Looks
275,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/FineEthan/status/1721584043848843468,Ethan Fine,https://twitter.com/FineEthan,45236,Just imagine for a second if a Jewish American burned a Palestinian flag at a rally. It’d be on the cover of every newspaper. But you won’t see that because pro-Israel gatherings are peaceful. Not violent or destructive.,https://pbs.twimg.com/amplify_video_thumb/1721030818657669120/img/v0fJ9FL7cviY6wir.jpg,48,17,1,
276,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Christcucks2/status/1720888835192578275,Christcuck Pastors,https://twitter.com/Christcucks2,45234,Charlie Kirk says Christians who aren't pro-Israel don't love the Bible,https://pbs.twimg.com/ext_tw_video_thumb/1720888766204624896/pu/img/aDrpLiRJ5SnAIZ-R.jpg,152,35,34,
277,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/RepDonaldsPress/status/1721873436702548183,Congressman Byron Donalds,https://twitter.com/RepDonaldsPress,45237,"Yesterday, an elderly Jewish man named Paul Kessler was murdered for attending a pro-Israel event in CA.This shocking hate crime is yet another chapter in the vile anti-Semitism sweeping our country.Now more than ever WE MUST stand with our Jewish neighbors.Don't look away.",,3.2K,1.4K,277,
278,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/KirkLubimov/status/1721273443247890540,Kirk Lubimov,https://twitter.com/KirkLubimov,45235,"Oh Canada singing on the pro Israel side.Which side didn't sing it and booed it? You guessed it, the Hamas sympathizers.#yyccc",https://pbs.twimg.com/ext_tw_video_thumb/1721273392018427904/pu/img/dj0d4MIWHwntHGrO.jpg,435,102,21,
279,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/JasonMBrodsky/status/1721157285680922631,Jason Brodsky,https://twitter.com/JasonMBrodsky,45235,"Amazing speech by Lily, a member of #Iran’s diaspora, at a pro-#Israel rally in London today. The Iranian people, Israelis, and Jews have common enemies: #IRGCterrorists. Connecting the #WomanLifeFreedom movement to this moment is very powerful.",https://pbs.twimg.com/amplify_video_thumb/1721149599086264320/img/vQLMro2EBV413b3P.jpg,1.8K,643,126,
280,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Sturgeons_Law/status/1721902205127860477,Sturgeon's Law,https://twitter.com/Sturgeons_Law,Nov 7Nov 6,"US liberal doing apologetics for literal feudalism. Just one of the many wondrous sights you can see perhaps only in pro-Israel discourse.The issue is that Arab farmers on these lands never really ""owned"" the lands under the Ottoman Empire, other larger owners or the state did. Sometimes the state would sell or loan it to people, but after WWI obviously there is no Ottoman Empire to buy it back, so Zionists… twitter.com/GlorfindelTwo/…",https://pbs.twimg.com/profile_images/1636102187590864905/xogHwi-y_mini.jpg,2.4K,233,24,
281,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/thizzl_/status/1721749310474219716,Timcast News,https://twitter.com/thizzl_,45237,Massive turnout for the pro-Israel rally today,,159,34,4,
282,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/caitoz/status/1721888139156062704,Caitlin Johnstone,https://twitter.com/caitoz,45237,"We Keep Our Gaze Fixed On GazaI hate every goddamn fucking second of this. I crack jokes here and there to highlight the ridiculousness of the pro-Israel position, but the truth is I’ve never enjoyed this commentary job of mine less than I’ve enjoyed it this past month.Some…",,6.8K,2.5K,571,
283,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/werntango/status/1722019815206871113,WernTango,https://twitter.com/werntango,45237,"Person detained, then released after elderly #Jewish man dies from injury at dueling rallies. Investigators in Ventura County have questioned a man involved in an altercation with a 69-year-old #proIsrael demonstrator who died after suffering a head injury.",https://pbs.twimg.com/amplify_video_thumb/1722019583853297664/img/nCkpV0KExq4f1ekI.jpg,112,25,,
284,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/mostlychimes/status/1721047375471620527,toby,https://twitter.com/mostlychimes,45235,fucking sick of people making the murder of innocent palestinians a fandom issue. you are not the victim for your favorite celebrity being pro israel. being upset that your “fandom is falling apart” while an entire genocide of palestinians is happening is so incredibly privileged,,4.4K,1.9K,7,
285,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/actuallyamo_/status/1720947277156475229,babygirl ,https://twitter.com/actuallyamo_,Nov 4Nov 4,"These people are pro Israel I need all the black folk to remember this, they’re supporting an apartheid state Chris Pappas on the dance! Let's #RockTheRegistration. Visit https://check.da.org.za",https://pbs.twimg.com/amplify_video_thumb/1720783487312027648/img/BwOH3WwHFmS1vWoK.jpg,3.8K,1.7K,54,
286,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/trtworld/status/1721762654069391870,TRT World,https://twitter.com/trtworld,45237,Pro-Israel TikTokers in France sing about death of Palestinian children,https://pbs.twimg.com/media/F-TsK0TW8AERSo7.jpg,722,761,70,
287,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/ForPalestine__/status/1721263797237952922,Tasnim ,https://twitter.com/ForPalestine__,45235,"Close to 100,000 of us in Melbourne standing against Israel's genocidal war while the Albanese government continues to express its support for Israel. We will challenge and change this pro-Israel position. The end of Israeli impunity is here. Cover this!",,1.7K,753,49,
288,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/juwugoslavija/status/1722033741294420072,nik,https://twitter.com/juwugoslavija,23 hours agoNov 7,"the graffiti actually says “Haver get out of Serbia” as well as “Israel is killing children” and “free palestine.”Haver has organized pro-Israel events in Serbia, their social media reposts islamaphobic propaganda, and they are putting up those grifting kidnap posters  Anti-Semitic attack in Serbia. The offices of the Jewish organization Haver Serbia in Belgrade were vandalized with anti-Semitic graffiti: “Get out of Serbia”, “Down with Zionism”.",https://pbs.twimg.com/media/F-Xkj0EXsAAiVvr?format=jpg&name=small;https://pbs.twimg.com/media/F-Xkj0CXwAA1qrc?format=jpg&name=small;https://pbs.twimg.com/media/F-XcVg8XMAADHzt?format=jpg&name=360x360;https://pbs.twimg.com/media/F-Xdeu1XUAAHmw9?format=jpg&name=360x360,266,96,3,
289,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/jakeshieldsajj/status/1719883995067122130,Jake Shields,https://twitter.com/jakeshieldsajj,45232,This clown is calling for censoring the larges account on Twitter They know the only way to keep Americans pro Israel is if they censor the truth,https://pbs.twimg.com/media/F95BYO5agAA2bpy?format=jpg&name=small,15K,2.5K,550,
290,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/QudsNen/status/1721224112427733151,Quds News Network,https://twitter.com/QudsNen,45235,Zionist pro-#Israel man attacks a pro-#Palestine demonstrator inside Charing Cross station in #London.,https://pbs.twimg.com/amplify_video_thumb/1721223878159060992/img/6asBHb3KXSWy5XoG.jpg,1K,809,86,
291,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/QudsNen/status/1721224112427733151,Quds News Network,https://twitter.com/QudsNen,45235,Zionist pro-#Israel man attacks a pro-#Palestine demonstrator inside Charing Cross station in #London.,,1K,809,86,
292,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/MattBinder/status/1721603413341864011,Matt Binder,https://twitter.com/MattBinder,45236,"seeing this image spread onlineonce again, posted by Visegrad24. once again, completely wrong. yet it has received 2.4+ million views.Stanford confirmed this was written by a pro-Israel community member attempting to draw negative attention to pro-Palestine students ",https://pbs.twimg.com/media/F-RbuKiX0AAr865?format=png&name=360x360;https://pbs.twimg.com/media/F-RbvnIWsAAhOb_?format=jpg&name=small,25K,8.8K,230,
293,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/emilyshar1/status/1721687842219282620,Emily,https://twitter.com/emilyshar1,45237,"This is beyond a hate crime, this is domestic terrorism. An innocent pro Israel activist was murdered in Los Angeles by a pro hamas individual, as he was hit in the head by a megaphone. I am speechless, his family is in my prayers.",https://pbs.twimg.com/ext_tw_video_thumb/1721678785949384704/pu/img/k4_FF3Mi_nUuINms.jpg,565,172,41,
294,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/mattxiv/status/1721365359700115617,matt,https://twitter.com/mattxiv,45236,what is crazy is watching people who have rightfully criticized right wing media outlets for years start sharing their content because they’re pro israel. why are you as a self-identified liberal sending me a video from prager u,,21K,2.6K,152,
295,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Parody95497Elon/status/1721595053284499715,FREEDOM OF SPEECH,https://twitter.com/Parody95497Elon,45236,EX CIA agent drops truth Bomb On American Pro Israel Audience.  ,https://pbs.twimg.com/ext_tw_video_thumb/1721594990768398336/pu/img/WEhZjwyL4bLaQ7ev.jpg,11,13,,
296,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Michael_Wgd/status/1721592972897108173,Michael Weingardt,https://twitter.com/Michael_Wgd,45236,Watch as a female passenger throws up the Heil Hitler in California as they drive by a pro Israel rally.,https://pbs.twimg.com/ext_tw_video_thumb/1721592937555836929/pu/img/MH_JM-aTbo9N_251.jpg,83,55,16,
297,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/AcidQueenOW/status/1721642120690196516,Acid Queen ,https://twitter.com/AcidQueenOW,45236,I'm so serious when I say we need a new VA for Pharah bcs the one we have being pro Israel and banning ppl fron her live's who try spread awareness is very shitty,,1.1K,180,31,
298,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/NiohBerg/status/1721699428870873104,Nioh Berg ♛ ✡︎,https://twitter.com/NiohBerg,45237," “Palestinian” mob murdered a Jewish man at the pro Hamas protest in west lake village, Los Angeles. We are at WAR with #PalestinianTerrorists who proudly support Hamas and are killing innocent Jews both in the west and in Israel. #NoCeasefire",https://pbs.twimg.com/ext_tw_video_thumb/1721678785949384704/pu/img/k4_FF3Mi_nUuINms.jpg,937,378,82,
299,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/dahrinoor2/status/1721768664809062416,Noor Dahri - نور ڈاہری ‎ ,https://twitter.com/dahrinoor2,45237,"Q: Do you condemn Hamas? A: NO (Pro Palestinian British Muslims) This is what I was saying for weeks, these pro Palestinian protests are actually in support of Hamas massacre in Israel.",https://pbs.twimg.com/amplify_video_thumb/1721768572618190848/img/vAaNzQi4pX1zgd7Y.jpg,308,117,20,
300,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/bepropalestine/status/1721637963606458642,Naz /be.pro.Palestine,https://twitter.com/bepropalestine,45236,This is israel and they want you to feel pity for them and they cry out about antisemitism,https://pbs.twimg.com/ext_tw_video_thumb/1721621046862761984/pu/img/v0llWoWmy5L5HtcH.jpg,91,97,26,
301,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/DavidYeshua4/status/1721365421658382695,I'LL BE BACK!!!,https://twitter.com/DavidYeshua4,45236,Pro-Palestinian protesters attack pro-Israel supporters in St. Louis,https://pbs.twimg.com/amplify_video_thumb/1721365355812057088/img/_NHDHEss5QPOx3pL.jpg,10,14,6,
302,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/TPV_John/status/1721700735442665490,The Patriot Voice,https://twitter.com/TPV_John,45237,"BREAKING! An elderly Jewish man, identified as Paul Kessler, who was struck in the head with a megaphone by a Pro-Palestinian protestor at a Pro-Israel protest yesterday in North LA has died from brain hemorrhage.Indeed, a terrible tragedy that did NOT need to happen. The…",,129,83,36,
303,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Thaleresq/status/1721011641800630428,John Thaler,https://twitter.com/Thaleresq,Nov 5Nov 4,When was the last time a pro-Israel rally resulted in vandalism at the White House let alone at all? It takes so little to see the clear difference between Jews and Muslims (and their sympathizers) and the difference between Western Civilization and Arab culture. This is…Pro-Palestine protestors scale the White House fence to raise the Palestinian flag @arjunswritings,https://pbs.twimg.com/amplify_video_thumb/1720937742618533888/img/8ra-XYT2LlbWTJTw.jpg,22,11,3,
304,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Hypernova42/status/1720136443589280115, Nova / Evelin ,https://twitter.com/Hypernova42,45232,"For anyone who is still pro Israel / neutral on the genocide of Palestine ( )Imagine yourself in the comfort of your own home, surrounded by your loved ones. Imagine your house being one of the millions of targeted houses by your oppressors. Imagine getting bombed +",,4.3K,3.3K,1,
305,Top,#ProIsrael,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/MairavZ/status/1720168576399626437,Mairav Zonszein מרב זונשיין,https://twitter.com/MairavZ,45232,"All these years in which Israel, the ADL and pro-Israel groups distorted what antisemitism is and weaponised it against critics of Israel and conflated Israel and Jews has been absolutely catastrophic for the actual safety of Jews, as is now plain to see.",,9K,2.8K,322,
